#Table1
class,g,r,z
GALAXY,23.11116,21.17132,0.5654954
GALAXY,22.3329,20.53688,0.4711246
QSO,22.19075,20.90197,3.78659
GALAXY,18.79624,17.39244,0.2247421
GALAXY,18.79624,17.39244,0.2246244
GALAXY,18.79624,17.39244,0.2247202
GALAXY,16.29475,15.80524,0.01389776
GALAXY,16.29475,15.80524,0.01388197
QSO,21.31663,21.50654,2.429248
GALAXY,22.14446,20.20575,0.4693797
GALAXY,19.63512,18.20007,0.2599747
GALAXY,22.30928,20.74887,0.5390901
GALAXY,17.11544,16.17229,0.08224798
GALAXY,17.11544,16.17229,0.08228508
GALAXY,17.27432,16.64532,0.08180752
GALAXY,20.31828,18.56401,0.3187055
QSO,21.97859,22.06356,2.387223
GALAXY,21.47266,19.79833,0.403997
QSO,22.35229,20.78473,0.4818604
GALAXY,21.3953,20.47164,0.6187077
QSO,21.10114,20.02062,3.823617
GALAXY,20.0072,18.41677,0.3177607
GALAXY,18.97829,17.94093,0.2015358
QSO,19.65583,19.46827,0.694355
GALAXY,18.06166,17.65451,0.04372502
GALAXY,18.06166,17.65451,0.04366974
GALAXY,19.4507,17.97527,0.2347985
GALAXY,19.4507,17.97527,0.2347792
GALAXY,20.18785,18.50078,0.3201544
GALAXY,19.49272,17.80917,0.3154197
GALAXY,19.49272,17.80917,0.3153108
GALAXY,19.49272,17.80917,0.31528
GALAXY,22.26268,20.66065,0.5687879
GALAXY,21.45627,19.48014,0.4761388
GALAXY,21.93649,20.32093,0.4753603
GALAXY,22.26511,20.39105,0.5732581
GALAXY,22.04864,20.27802,0.5343594
GALAXY,17.6133,17.23713,0.04392307
GALAXY,17.6133,17.23713,0.04397503
GALAXY,17.6133,17.23713,0.04391466
GALAXY,18.15229,17.63178,0.04358809
GALAXY,18.15229,17.63178,0.0435218
GALAXY,18.15229,17.63178,0.04349883
GALAXY,16.74774,15.91,0.04292916
GALAXY,16.74774,15.91,0.04287855
GALAXY,17.66108,17.32397,0.0447254
GALAXY,17.66108,17.32397,0.04464993
GALAXY,22.59035,20.76968,0.5662004
QSO,20.23428,20.01229,1.444614
GALAXY,17.50018,17.20864,0.04333953
GALAXY,17.50018,17.20864,0.04329193
GALAXY,17.50018,17.20864,0.04327096
GALAXY,17.50138,16.792,0.139625
GALAXY,17.50138,16.792,0.1396852
GALAXY,16.99837,16.19786,0.07959692
QSO,20.20374,20.06198,1.600202
QSO,20.99325,20.87971,2.784596
GALAXY,22.35217,20.7422,0.474972
GALAXY,20.37216,18.77895,0.3057214
GALAXY,21.38917,20.34954,0.5313522
GALAXY,21.38917,20.34954,0.5313719
GALAXY,22.26047,20.29758,0.4738204
GALAXY,21.43971,19.69676,0.4919556
GALAXY,21.43971,19.69676,0.4917432
GALAXY,22.35461,20.95549,0.539126
GALAXY,21.82423,20.36492,0.5482323
GALAXY,21.10333,19.29299,0.4480295
GALAXY,18.34658,17.40012,0.09683676
GALAXY,18.34658,17.40012,0.09673838
GALAXY,21.31369,20.59357,0.006313755
GALAXY,21.31369,20.59357,0.006237303
GALAXY,21.59229,19.87684,0.4475067
GALAXY,18.34167,17.35778,0.09746779
GALAXY,18.34167,17.35778,0.09748159
GALAXY,18.27468,17.12555,0.1649299
GALAXY,18.27468,17.12555,0.1648705
GALAXY,18.27468,17.12555,0.1648705
GALAXY,17.94093,17.45712,0.04251887
GALAXY,17.94093,17.45712,0.04257662
GALAXY,17.94093,17.45712,0.04249464
GALAXY,22.15092,20.2577,0.4916197
GALAXY,22.15092,20.2577,0.4912333
QSO,22.12459,21.99482,2.493858
GALAXY,22.63723,20.78833,0.5632978
GALAXY,22.08649,20.30021,0.5278423
GALAXY,22.75457,20.79316,0.5265797
GALAXY,21.98886,20.21584,0.5069488
GALAXY,20.90117,19.48514,0.5066759
GALAXY,23.02002,21.17863,0.5278077
GALAXY,23.02002,21.17863,0.5272387
GALAXY,22.66133,20.71944,0.5089031
GALAXY,21.74647,19.92633,0.4436987
GALAXY,21.74647,19.92633,0.4434223
GALAXY,20.90306,19.04051,0.4074505
GALAXY,21.06335,19.97724,0.17141
GALAXY,21.06335,19.97724,0.1714568
QSO,24.74548,22.16884,0.4886523
GALAXY,23.24482,21.35435,0.5634152
GALAXY,23.24482,21.35435,0.5634151
GALAXY,23.24147,21.05261,0.5647866
GALAXY,18.41461,17.14387,0.1804859
GALAXY,18.41461,17.14387,0.180339
